date,tool,repo,stars
2026-07-15,RTK,rtk-ai/rtk,71000
2026-07-15,sqz,ojuschugh1/sqz,529
2026-07-15,lean-ctx,yvgude/lean-ctx,3200
2026-07-15,omni,fajarhide/omni,300
2026-07-15,agent-context-economy,grafikerdem/agent-context-economy,15
2026-07-15,ctxlite,ctxlite/ctxlite,5
2026-07-15,context-mode,mksglu/context-mode,19000
2026-07-15,token-optimizer-mcp,ooples/token-optimizer-mcp,437
2026-07-15,sigmap,manojmallick/sigmap,596
2026-07-15,virtual-context,virtual-context/virtual-context,58
2026-07-15,magic-context,cortexkit/magic-context,1300
2026-07-15,qmd,tobi/qmd,28000
2026-07-15,iwe,iwe-org/iwe,1300
2026-07-15,graphthulhu,skridlevsky/graphthulhu,171
2026-07-15,mfs,zilliztech/mfs,103
2026-07-15,context (neuledge),neuledge/context,333
2026-07-15,jdocmunch-mcp,jgravelle/jdocmunch-mcp,187
2026-07-15,githits-cli,githits-com/githits-cli,71
2026-07-15,Understand Anything,Lum1104/Understand-Anything,74000
2026-07-15,CodeBoarding,CodeBoarding/CodeBoarding,2300
2026-07-15,GitNexus,abhigyanpatwari/GitNexus,44000
2026-07-15,codebase-memory-mcp,DeusData/codebase-memory-mcp,32000
2026-07-15,code-review-graph,tirth8205/code-review-graph,20000
2026-07-15,reposcry,zibouddd/reposcry,13
2026-07-15,sourcebot,sourcebot-dev/sourcebot,3600
2026-07-15,SocratiCode,giancarloerra/SocratiCode,3100
2026-07-15,graphify,safishamsi/graphify,86000
2026-07-15,codegraph,colbymchenry/codegraph,60000
2026-07-15,tokensave,aovestdipaperino/tokensave,433
2026-07-15,CodeGraphContext,CodeGraphContext/CodeGraphContext,3900
2026-07-15,contextplus,ForLoopCodes/contextplus,2000
2026-07-15,Serena,oraios/serena,26000
2026-07-15,pharos-mcp,LoganBresnahan/pharos-mcp,4
2026-07-15,jCodemunch,jgravelle/jcodemunch-mcp,2000
2026-07-15,n2-arachne,choihyunsus/n2-arachne,55
2026-07-15,depmesh,Tiendil/depmesh,4
2026-07-15,codemark,DanielCardonaRojas/codemark,14
2026-07-15,repo-graph,andreirx/repo-graph,11
2026-07-15,TrueCourse,truecourse-ai/truecourse,496
2026-07-15,mcpick,spences10/mcpick,91
2026-07-15,Bitloops,bitloops/bitloops,230
2026-07-15,Aura,Naridon-Inc/aura,36
2026-07-15,aictx,oldskultxo/aictx,54
2026-07-15,greplica,Autoloops/greplica,313
2026-07-15,caveman,JuliusBrussee/caveman,89000
2026-07-15,codesight,Houseofmvps/codesight,1200
2026-07-15,codemap,JordanCoin/codemap,642
2026-07-15,openwolf,cytostack/openwolf,2100
2026-07-15,lat.md,1st1/lat.md,1800
2026-07-15,sdl-mcp,GlitterKill/sdl-mcp,440
2026-07-15,token-optimizer,alexgreensh/token-optimizer,1600
2026-07-15,ctxharness,FlorianBruniaux/ctxharness,18
2026-07-15,tokentelemetry,VasiHemanth/tokentelemetry,232
2026-07-15,Sponsio,SponsioLabs/Sponsio,465
2026-07-15,jdatamunch-mcp,jgravelle/jdatamunch-mcp,70
2026-07-15,ark,atripati/ark,39
2026-07-15,headroom,headroomlabs-ai/headroom,59000
2026-07-15,faramesh-core,faramesh/faramesh-core,95
2026-07-15,awesome-second-brain,aristoapp/awesome-second-brain,468
2026-07-15,Awesome-AI-Memory,IAAR-Shanghai/Awesome-AI-Memory,1100
2026-07-15,awesome-agent-vault,zriyansh/awesome-agent-vault,13
2026-07-15,awesome-harness-engineering,ai-boost/awesome-harness-engineering,3100
2026-07-15,mem0,mem0ai/mem0,61000
2026-07-15,cognee,topoteretes/cognee,28000
2026-07-15,supermemory,supermemoryai/supermemory,28000
2026-07-15,graphiti,getzep/graphiti,29000
2026-07-15,obsidian-second-brain,eugeniughelbur/obsidian-second-brain,3300
2026-07-15,gitmem,dev-boz/gitmem,33
2026-07-15,memoir,zhangfengcdt/memoir,593
2026-07-15,GrapeRoot (Codex-CLI-Compact),kunal12203/codex-cli-compact,930
2026-07-15,claude-mem,thedotmack/claude-mem,87000
2026-07-15,claude-smart,ReflexioAI/claude-smart,745
2026-07-15,TrueMemory,buildingjoshbetter/TrueMemory,366
2026-07-15,agentic-context-engine (ACE),kayba-ai/agentic-context-engine,2500
2026-07-15,mem,karmugilen/mem,1
2026-07-15,curion,geanatz/curion,31
2026-07-15,ponytail,DietrichGebert/ponytail,83000
2026-07-15,ContextForge,anujkushwaha612/ContextForge,7
